what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1320070745950
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320070745951
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1320070745952
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320070745953
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1320070745953
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1320070745954
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1320070745955
started,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1320070745957
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1320070745957
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1320070745958
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1320070745960
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1320070745962
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1320070745962
started,bundle,org.hibernate.eclipse,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse",1320070745964
started,bundle,org.hibernate.eclipse.console,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.console",1320070745964
started,bundle,org.hibernate.eclipse.jdt.ui,3.4.1.v20110729-2006-H171-Final,"org.hibernate.eclipse.jdt.ui",1320070745965
started,bundle,org.jboss.ide.eclipse.as.core,2.2.0.v20110729-2006-H221-Final,"org.jboss.ide.eclipse.as.core",1320070745966
started,bundle,org.jboss.ide.eclipse.as.ui,2.2.0.v20110729-2006-H221-Final,"org.jboss.ide.eclipse.as.ui",1320070745967
started,bundle,org.jboss.tools.common,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common",1320070745967
started,bundle,org.jboss.tools.common.model,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.model",1320070745968
started,bundle,org.jboss.tools.common.projecttemplates,3.2.1.v20110729-1946-H142-Final,"org.jboss.tools.common.projecttemplates",1320070745969
started,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20110729-1946-H142-Final,"org.jboss.tools.common.verification.ui",1320070745969
started,bundle,org.jboss.tools.esb.project.ui,1.4.0.v20110729-2137-H157-Final,"org.jboss.tools.esb.project.ui",1320070745970
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20110729-1935-H124-Final,"org.jboss.tools.jmx.core",1320070745971
started,bundle,org.jboss.tools.jsf.ui,3.2.1.v20110730-1214-H169-Final,"org.jboss.tools.jsf.ui",1320070745972
started,bundle,org.jboss.tools.jst.web,3.2.1.v20110729-2031-H177-Final,"org.jboss.tools.jst.web",1320070745972
